Shape, Size, Even, Side1, Side2, Side3, Side4, Result, TestResult
Line,Small,false,4095,0,0,0,0, Passed
Line,Large,true,2,2,2,2,0, Passed
Line,Small,true,4095,4095,4095,4095,0, Passed
Circle,Large,true,2,0,0,0,0, Passed
Circle,Small,false,4095,2,4095,2,0, Passed
Circle,Large,false,2,4095,2,4095,0, Passed
Ellipse,Small,true,2,0,0,0,0, Passed
Ellipse,Large,false,4095,2,2,4095,0, Passed
Ellipse,Large,false,2,4095,4095,2,0, Passed
Equilateral,Small,true,4095,0,0,0,0, Passed
Equilateral,Large,false,2,2,2,0,0, Passed
Equilateral,Small,true,4095,4095,4095,0,0, Passed
Isosceles,Small,true,4095,0,0,0,0, Passed
Isosceles,Large,false,2,2,2,2,0, Passed
Isosceles,Small,true,4095,4095,4095,4095,0, Passed
Scalene,Small,true,4095,0,0,0,0, Passed
Scalene,Large,false,2,2,2,2,0, Passed
Scalene,Large,false,4095,4095,4095,4095,0, Passed
Square,Small,true,4095,0,0,0,0, Passed
Square,Large,false,2,2,2,2,0, Passed
Square,Large,true,2,4095,4095,4095,0, Passed
Rectangle,Small,true,4095,0,0,0,0, Passed
Rectangle,Large,false,2,2,2,2,0, Passed
Rectangle,Small,false,4095,4095,4095,4095,0, Passed
Rectangle,Small,true,2,2,0,0,0, Passed
Ellipse,Small,true,2,4095,0,0,0, Passed
Equilateral,Small,false,4095,4095,2,2,0, Passed
Equilateral,Small,true,2,4095,4095,4095,0, Passed
